trial,sequence,event_id,economic_loss,insured_loss,pa_loss,min_lat,min_lon,max_lat,max_lon,magnitude
84,1,1,410876346.8,61631452.02,37052400.16,34.1625,-86.5875,39.3,-81.4,6.45
1320,1,2,1851739762,277760964.3,156130262.4,33.5625,-87.0875,38.6875,-81.9,6.45
1462,1,3,1051828827,157774324,90022897.1,33.4875,-86.5375,36.6875,-83.2875,5.45
1609,1,4,1093884736,164082710.5,93498540.75,33.9375,-86.3625,36.2375,-84.1375,4.75
2870,1,5,361673597.8,54251039.68,32986117.33,34.0875,-86.3125,36.1375,-84.3875,4.95
3472,1,6,1650849722,247627458.2,139528024.9,33.7125,-86.2875,36.4875,-83.5625,5.15
4017,1,7,923612619.4,138541892.9,79426672.82,33.0375,-87.6875,37.7875,-82.6625,6.35
4043,1,8,1176722316,176508347.4,100344520.6,33.9875,-86.9125,36.3875,-83.4125,5.55
4206,1,9,632237687.8,94835653.18,55346455.65,31.35,-95.4,40.8,-84.5625,7.6
4228,1,10,417415455,62612318.25,37592814.34,33.8125,-86.5875,36.8375,-83.5625,5.25
4416,1,11,679932540.9,101989881.1,59288120.82,31.15,-95.4,40.7,-84.4,7.6
5315,1,12,658216213,98732431.95,57493409.49,33.7375,-86.8875,36.7375,-83.8625,5.25
5994,1,13,863508965.3,129526344.8,74459502.05,33.7125,-86.3125,36.0375,-83.7625,4.95
6045,1,14,562193225.8,84328983.86,49557742.63,33.9125,-86.6875,36.5375,-84.0625,4.95
7283,1,15,528257267.3,79238590.1,46753159.39,33.5375,-86.7875,36.5625,-83.5875,5.35
8035,1,16,571088376.5,85663256.47,50292868.19,33.5875,-87.0875,37.25,-83.4625,5.75
8960,1,17,1660807344,249121101.7,140350956.8,31.9,-94.6,40.85,-84.3,7.8
9276,1,18,532009076.7,79801361.5,47063221.7,32.8125,-86.5875,37.65,-81.8125,6.25
9399,1,19,2575697082,386354562.3,215960562.1,32.5125,-87.5375,37.9,-82.2625,6.55